Parafia	Miejscowość	url	Adres	Diecezja	Dekanat	Województwo	place_id
św. Mateusza Ap. Ew.	Mielec	http://www.bazylikamielec.pl/	św. Mateusza Ap. Ew.|ul. bł. ks. Romana Sitki 3|39-300 Mielec|woj. podkarpackie	tarnowska	Mielec-Północ	podkarpackie	ChIJC2Aqt3prPUcRgNZfjiu7baU	OK
Św. Mateusza Ap. Ew.	Biesiadniki		Św. Mateusza Ap. Ew.|Biesiadki 16|32-864 Biesiadniki|woj. małopolskie	tarnowska	Czchów	małopolskie		NOT_FOUND
św. Mateusza Ap. i Ew.	Gębice	http://www.parafiagebice.pl/	św. Mateusza Ap. i Ew.|ul. Ks. Greinerta 6|88-330 Gębice|woj. kujawsko-pomorskie	gnieźnieńska	trzemeszeński	kujawsko-pomorskie	ChIJu7_vws6lBEcRChWa2weOy_8	OK
św. Mateusza Ap. i Ewangelisty	Poznań	http://www.mateusz.poznan.pl/	św. Mateusza Ap. i Ewangelisty|os. Orła Białego 1/2|61-251 Poznań|woj. wielkopolskie	poznańska	Poznań-Rataje	wielkopolskie	ChIJr-8Ee1NaBEcRKNceHgsnveo	OK
św. Mateusza Ewangelisty	Warszawa	http://www.pasjonisci.org.pl/	św. Mateusza Ewangelisty|ul. Ostródzka 172|03-289 Warszawa|woj. mazowieckie	warszawsko-praska	Warszawa-Bródno	mazowieckie	ChIJFwR5sizPHkcRmlDF6KsJqmI	OK
Św. Mateusza Ewangelisty	Łódź	http://www.parafiamateusza.pl/	Św. Mateusza Ewangelisty|ul. 28 Pułku Strzelców Kaniowskich 18/20|90-639 Łódź|woj. łódzkie	łódzka	Łódź-Śródmieście	łódzkie	ChIJ61WvRM3KG0cR7VKUDDR48ME	OK
Św. Mateusza Ewangielisty	KĘTRZYN		Św. Mateusza Ewangielisty|ul.Sikorskiego 78|11-401 KĘTRZYN|woj. warmińsko-mazurskie	ordynariat polowy	Straż Graniczna	warmińsko-mazurskie	ChIJ842IuT464kYR-z7EZxHVdmQ	OK
św. Mateusza Ew. i Ap.	Murzynno		św. Mateusza Ew. i Ap.|Murzynno|88-140 Murzynno|woj. kujawsko-pomorskie	gnieźnieńska	gniewkowski	kujawsko-pomorskie		NOT_FOUND
Św. Mateusza i Św. Rocha	STARA SOBÓTKA		Św. Mateusza i Św. Rocha|Stara Sobótka 35|99-106 STARA SOBÓTKA|woj. łódzkie	łowicka	Krośniewice	łódzkie		NOT_FOUND
św. Maurycego	Wrocław	http://www.maurycy.parafia.info.pl/	św. Maurycego|ul. Traugutta 34|50-402 Wrocław|woj. dolnośląskie	wrocławska	Wrocław-Śródmieście	dolnośląskie	ChIJGWbHGXnCD0cRabnwHtU5a0Y	OK
Św. Melchiora Grodzieckiego	Częstochowa	http://archiczest.pl/parafie/dekanaty/sw-jozefa-w-czestochowie/czestochowa-sw-melchiora-grodzieckiego/	Św. Melchiora Grodzieckiego|ul. Ossowskiego 9|42-207 Częstochowa|woj. śląskie	częstochowska	ŚW. JÓZEFA W CZĘSTOCHOWIE	śląskie	ChIJV5kOUp21EEcR_ysA22QI9Rc	OK
Św. Melchiora Grodzieckiego	DARŁOWO	http://www.darlowo.info/index.php/parafia-darlowo/410-parafia-wojskowa-melchiora-grodzieckiego	Św. Melchiora Grodzieckiego|os.Zwycięstwa 10/5|76-150 DARŁOWO|woj. zachodniopomorskie	ordynariat polowy	Marynarka Wojenna	zachodniopomorskie	ChIJaVYX5aQr_kYRIR7MCx8-_Uw	OK
Św. Męczennika Dymitra	SANOK		Św. Męczennika Dymitra|Hłomcza 50|38-503 SANOK|woj. podkarpackie	bizantyjska przemysko-warszawska	Sanok	podkarpackie		NOT_FOUND
Św. Męczenników Jana i Pawła	MIKOŁAJEW	http://www.diecezja.lowicz.pl/serwis/index.php?id=55&idd=76	Św. Męczenników Jana i Pawła|Mikołajew 20|96-516 MIKOŁAJEW	łowicka	Sochaczew-Św. Wawrzyńca		ChIJDTRUSQVXGUcRhWMnsB8Uac8	OK
św. Michała	Cigacice		św. Michała|ul. Szkolny 12|66-131 Cigacice|woj. lubuskie	zielonogórsko-gorzowska	Sulechów	lubuskie	ChIJRVHRpG1tBkcRvNQBO02UePI	OK
Św. Michała	Postolin		Św. Michała|Postolin 13|82-400 Postolin|woj. pomorskie	elbląska	SZTUM	pomorskie	ChIJfwIwNtauAkcRxapJx2Yan6c	OK
Św. Michała	PRZYSŁUP		Św. Michała|ul.Hallera 30/25|38-315 PRZYSŁUP|woj. małopolskie	bizantyjska przemysko-warszawska	Krakowsko-Krynicki	małopolskie	ChIJMbWXWSnQPUcRKoexpAeAfyk	OK
Św. Michała	KRASICE		Św. Michała|ul.Basztowa 13|37-700 KRASICE|woj. podkarpackie	bizantyjska przemysko-warszawska	Przemyśl	podkarpackie	ChIJb1i9eZR_PEcRHq55JqXn0Fs	OK
Św. Michała	KULASZNE		Św. Michała|Kulaszne 173|38-543 KULASZNE|woj. podkarpackie	bizantyjska przemysko-warszawska	Sanok	podkarpackie	ChIJievd_vcOPEcR1rwzCbRwoyY	OK
Św. Michała	WIELOPOLE		Św. Michała|Mokre 9/3|38-542 WIELOPOLE|woj. podkarpackie	bizantyjska przemysko-warszawska	Sanok	podkarpackie	ChIJc5qhV7AMPEcRYyAivNdzBYQ	OK
Św. Michała	Rozmierz		Św. Michała|ul. Kościelna 1|47-171 Rozmierz|woj. opolskie	opolska	Strzelce Opolskie	opolskie		NOT_FOUND
św. Michała Arch.	Broniszewice		św. Michała Arch.|Broniszewice 125|63-304 Broniszewice|woj. wielkopolskie	kaliska	czermiński	wielkopolskie	ChIJnQyaGusrBUcRLpydNRKsGl4	AMBIGUOUS
św. Michała Archanioła	Żytkiejmy	http://www.archaniol.waw.pl/	św. Michała Archanioła|ul. Konopnickiej 10|19-505 Żytkiejmy	ełcka	Filipów - MB Częstochowskiej		ChIJT3Xy_E4U4UYRf8Pqbjl-qtw	OK
św. Michała Archanioła	Gliwice	http://gliwice-michal.cba.pl/	św. Michała Archanioła|ul. B. Krzywoustego 1|44-100 Gliwice|woj. śląskie	gliwicka	Gliwice	śląskie	ChIJPRuGAwIxEUcRJ2UOvP76e24	OK
św. Michała Archanioła	Żernica	http://www.msf.opoka.org.pl/zernica.html	św. Michała Archanioła|ul. Leopolda Miki 3|44-144 Żernica|woj. śląskie	gliwicka	Gliwice Ostropa	śląskie	ChIJwXPSwDg3EUcRu-kHzbgFbxI	OK
św. Michała Archanioła	Bytom Sucha Góra	http://www.sgparafia.wiara.pl/index.php?strona=glowna	św. Michała Archanioła|ul. Ks. P. Jaskółki 1|41-935 Bytom Sucha Góra|woj. śląskie	gliwicka	Żyglin	śląskie	ChIJa5XIL50rEUcR_I-i8apSHLg	OK
św. Michała Archanioła	Brudnia		św. Michała Archanioła|Brudnia|88-133 Brudnia|woj. kujawsko-pomorskie	gnieźnieńska	gniewkowski	kujawsko-pomorskie	ChIJ7QOKNK1SA0cRg9fW4EltZK4	OK
św. Michała Archanioła	Gniezno	http://www.michalarchaniol.pl/	św. Michała Archanioła|ul. św. Michała 1|62-200 Gniezno|woj. wielkopolskie	gnieźnieńska	gnieźniński >2<	wielkopolskie	ChIJh7_0JhCRBEcR-5lAXhdfwZo	OK
św. Michała Archanioła	Jabłkowo		św. Michała Archanioła|Raczkowo 37|62-285 Jabłkowo|woj. wielkopolskie	gnieźnieńska	kiszkowski	wielkopolskie		NOT_FOUND
św. Michała Archanioła	Mieścisko		św. Michała Archanioła|ul. Kościelna 1|62-150 Mieścisko	gnieźnieńska	kłecki		ChIJJ4HrrmB-BEcRu2tVhDVwWsY	OK
św. Michała Archanioła	Winnagóra		św. Michała Archanioła|Winnagóra 9|63-013 Winnagóra|woj. wielkopolskie	gnieźnieńska	miłosławski	wielkopolskie	ChIJlzghepnmBEcR_DvM_WKCOpA	OK
św. Michała Archanioła	Niestronno	http://parafianiestronno.ns48.pl/	św. Michała Archanioła|Niestronno|88-300 Niestronno|woj. kujawsko-pomorskie	gnieźnieńska	mogileński	kujawsko-pomorskie	ChIJw7mZarKfBEcRwbGGfo9-4Ww	OK
św. Michała Archanioła	Pobiedziska	http://www.farapobiedziska.pl/	św. Michała Archanioła|ul. Gnieźnieńska 2|62-010 Pobiedziska|woj. wielkopolskie	gnieźnieńska	pobiedziski	wielkopolskie	ChIJS6neviaLBEcRK6S1Vu6ovWI	OK
św. Michała Archanioła	Samarzewo	http://www.archidiecezja.pl/parafie/dekanaty/dekanat_slupecki/samarzewo_par._pw._sw._michala_archaniola.html	św. Michała Archanioła|Samarzewo|62-406 Samarzewo|woj. wielkopolskie	gnieźnieńska	słupecki	wielkopolskie	ChIJy4WNR8rEBEcRCqRJqLoF9-Q	OK
św. Michała Archanioła	Siedlimowo		św. Michała Archanioła|Siedlimowo|88-324 Siedlimowo|woj. kujawsko-pomorskie	gnieźnieńska	strzeliński	kujawsko-pomorskie	ChIJNWUvxRytBEcRV2TLcafe4Is	OK
św. Michała Archanioła	Grzybowo		św. Michała Archanioła|Grzybowo 34|62-300 Grzybowo|woj. wielkopolskie	gnieźnieńska	wrzesiński I	wielkopolskie	ChIJU-cJKG7pBEcRjabe_sV08nU	OK
św. Michała Archanioła	Targowa Górka		św. Michała Archanioła|Targowa Górka ul. Kosińskiego 3|62-330 Targowa Górka|woj. wielkopolskie	gnieźnieńska	wrzesiński I	wielkopolskie	ChIJI-MBcQTvBEcRXVN9R8Jl0X8	OK
św. Michała Archanioła	Królików		św. Michała Archanioła|Królików 78 A|62-580 Królików|woj. wielkopolskie	gnieźnieńska	zagórowski	wielkopolskie		NOT_FOUND
św. Michała Archanioła	Kalisz	http://www.kaliszarchaniola.parafialnastrona.pl/	św. Michała Archanioła|ul. Dobrzecka 193|62-800 Kalisz	kaliska	kaliski II		ChIJf7-d5VzPGkcR_4utIvd2oU4	OK
św. Michała Archanioła	Rajsko		św. Michała Archanioła|Rajsko 12|62-860 Rajsko|woj. wielkopolskie	kaliska	opatówecki	wielkopolskie	ChIJ_3hyPpzCGkcRMXAYygrhn9A	OK
św. Michała Archanioła	Szczury	http://parafiaszczury.pl/	św. Michała Archanioła|Szczury 8|63-450 Szczury|woj. wielkopolskie	kaliska	raszkowski	wielkopolskie	ChIJhe2eWh3LGkcRMXl7oXu1g6E	OK
św. Michała Archanioła	Cieszyn		św. Michała Archanioła|Cieszyn ul. Kościelna 15|63-435 Cieszyn|woj. wielkopolskie	kaliska	twardogórski	wielkopolskie	ChIJ0VYe31sBFEcRaUUVeA9DWuY	AMBIGUOUS
św. Michała Archanioła	Wyszanów		św. Michała Archanioła|Wyszanów ul. Główna 28|98-400 Wyszanów|woj. łódzkie	kaliska	wieruszowski	łódzkie	ChIJn0BUOreeGkcR4OqiiwBvHQA	OK
św. Michała Archanioła	Skałągi		św. Michała Archanioła|ul. Okrężna 7|46-262 Skałągi|woj. opolskie	kaliska	wołczyński	opolskie	ChIJq38CEPNlEEcRp14OFmo1YBY	OK
św. Michała Archanioła	Karlino	http://www.diecezjakoszalin.pl/parafia/szczegoly/24/sw-michala-archaniola-karlino	św. Michała Archanioła|Plac Jana Pawła II 8|78-230 Karlino|woj. zachodniopomorskie	koszlińsko-kołobrzeska	Białograd	zachodniopomorskie	ChIJGwEv8wxJAEcRGG9F-DN4IWE	OK
św. Michała Archanioła	Jastrowie	http://www.smjastrowie.pl/	św. Michała Archanioła|ul. gen. Kieniewicza 44|64-915 Jastrowie|woj. wielkopolskie	koszlińsko-kołobrzeska	Jastrowie	wielkopolskie	ChIJCycziirYA0cROZ7H4QXZ4vw	AMBIGUOUS
św. Michała Archanioła	Podczele	http://www.podczele.koszalin.opoka.org.pl/	św. Michała Archanioła|ul. Ostrobramska 1|78-106 Podczele	koszlińsko-kołobrzeska	Kołobrzeg		ChIJHcA3GGM-AEcRHexmSo-c-r8	OK
św. Michała Archanioła	Miłocice		św. Michała Archanioła|Miłocice 33|77-211 Miłocice|woj. pomorskie	koszlińsko-kołobrzeska	Miastko	pomorskie	ChIJ83LT4wBTFkcRPmT1APPuD9M	OK
św. Michała Archanioła	Świdwin	http://www.parafiamichal-swidwin.pl/	św. Michała Archanioła|ul. ks. Jerzego Popiełuszki 36a|78-300 Świdwin|woj. zachodniopomorskie	koszlińsko-kołobrzeska	Świdwin	zachodniopomorskie	ChIJYWDkTtBVAEcRuDmehPD2kxk	OK
św. Michała Archanioła	Zubrzyca Górna		św. Michała Archanioła|Zubrzyca Górna 56|34-484 Zubrzyca Górna|woj. małopolskie	krakowska	Jabłonka	małopolskie	ChIJM6D4axfaFUcR4dNZl5MFQbE	OK
św. Michała Archanioła	Zebrzydowice	http://parafia-zebrzydowice.pl/	św. Michała Archanioła|Zebrzydowice 12|34-130 Zebrzydowice|woj. małopolskie	krakowska	Kalwaria	małopolskie	ChIJj_DNJrpjFkcREMdfeuJGdcY	OK
św. Michała Archanioła	Siepraw		św. Michała Archanioła|Siepraw 1017|32-447 Siepraw|woj. małopolskie	krakowska	Mogilany	małopolskie	EjbFmncuIE1pY2hhxYJhIEFyY2hhbmlvxYJhIDEwMTcsIDMyLTQ0NyBTaWVwcmF3LCBQb2xhbmQ	OK
św. Michała Archanioła	Mszana Dolna	http://www.parafiamszanadolna.pl/	św. Michała Archanioła|ul. Jana Pawła II 3|34-730 Mszana Dolna|woj. małopolskie	krakowska	Mszana Dolna	małopolskie	ChIJcVYRagMMFkcR0Pv9q28WjJU	OK
św. Michała Archanioła	Dębno	http://www.debno.diecezja.pl/	św. Michała Archanioła|ul. Kościelna 42|34-434 Dębno|woj. małopolskie	krakowska	Niedzica	małopolskie	ChIJA1k2Lkz5FUcRXFZIWm3-Pd8	OK
św. Michała Archanioła	Ostrowsko	http://www.parafiaostrowsko.pl/	św. Michała Archanioła|ul. Jana Pawła II 21|34-431 Ostrowsko|woj. małopolskie	krakowska	Nowy Targ	małopolskie	ChIJiePrPhX7FUcRJoRmPC6GU8U	AMBIGUOUS
św. Michała Archanioła	Pawlikowice	http://pawlikowice.com.pl/	św. Michała Archanioła|Pawlikowice 1|32-020 Pawlikowice|woj. małopolskie	krakowska	Wieliczka	małopolskie	ChIJgW8o9JZBFkcR4oGxNelQl4g	AMBIGUOUS
św. Michała Archanioła	Raciborowice		św. Michała Archanioła|Raciborowice 188|59-720 Raciborowice|woj. dolnośląskie	legnicka	Bolesławiec Wschód	dolnośląskie	ChIJUztQkmk6D0cRn_unpeYEejQ	OK
św. Michała Archanioła	Giebułtów	http://www.par-michal.legnica.opoka.org.pl/	św. Michała Archanioła|Giebułtów 138|59-630 Giebułtów|woj. dolnośląskie	legnicka	Gryfów Śląski	dolnośląskie	ChIJVzcJJA7VDkcR4rH1Xqemk8o	AMBIGUOUS
św. Michała Archanioła	Czernica		św. Michała Archanioła|Czernica 114|58-521 Czernica|woj. dolnośląskie	legnicka	Jelenia Góra Zachód	dolnośląskie	ChIJTVep14wgD0cR0y_RQdalcGE	AMBIGUOUS
św. Michała Archanioła	Jeżów Sudecki		św. Michała Archanioła|ul. Boczna 6|58-521 Jeżów Sudecki|woj. dolnośląskie	legnicka	Jelenia Góra Zachód	dolnośląskie	ChIJhZoRMsHfDkcR3o7fmHzOHWc	OK
św. Michała Archanioła	Koskowice	http://parafiakoskowice.pl/	św. Michała Archanioła|Koskowice 40|59-241 Koskowice|woj. dolnośląskie	legnicka	Legnica Wschód	dolnośląskie	ChIJGUEFNPYMD0cRs54LA35Wjbs	OK
św. Michała Archanioła	Siedlce	http://www.parafiasiedlec.pl/	św. Michała Archanioła|ul. Czerniec 22|59-300 Siedlce|woj. dolnośląskie	legnicka	Lubin Zachód	dolnośląskie	ChIJD-Qne5LXBUcRaRAykcABO7A	AMBIGUOUS
św. Michała Archanioła	Włodzice Wielkie		św. Michała Archanioła|Włodzice Wielkie 34|59-600 Włodzice Wielkie|woj. dolnośląskie	legnicka	Nowogrodziec	dolnośląskie	ChIJPfcugo8xD0cRD0SQBOPqdew	OK
św. Michała Archanioła	Polkowice		św. Michała Archanioła|pl. Kościelny 2|59-100 Polkowice|woj. dolnośląskie	legnicka	Polkowice	dolnośląskie	ChIJ4wpVdt1dD0cREiDYOJ5cLyQ	OK
św. Michała Archanioła	Sobin	http://www.parafiasobin.eu/	św. Michała Archanioła|Sobin 63|59-100 Sobin|woj. dolnośląskie	legnicka	Polkowice	dolnośląskie	ChIJj8lA8apdD0cRB2LylMTkmyk	OK
św. Michała Archanioła	Olszany		św. Michała Archanioła|Olszany 31|59-305 Olszany|woj. dolnośląskie	legnicka	Ścinawa	dolnośląskie	ChIJZdbW2-t8D0cRSI6VAToUYPM	OK
św. Michała Archanioła	Poznań	http://www.swietymichalarchaniol.pl/	św. Michała Archanioła|ul. Stolarska 7|69-788 Poznań	poznańska	Poznań-Jeżyce		ChIJm6c5rc1EBEcRlXRdxihVHs8	OK
św. Michała Archanioła	Uzarzewo		św. Michała Archanioła|ul. Akacjowa 5|62-006 Uzarzewo|woj. wielkopolskie	poznańska	Swarzędz	wielkopolskie	ChIJH4BDN1ReBEcRraMMD0BveQo	OK
św. Michała Archanioła	Czacz		św. Michała Archanioła|Czacz ul. 27 Stycznia 77|64-030 Czacz|woj. wielkopolskie	poznańska	Śmigiel	wielkopolskie	ChIJn_i1AvC5BUcRZHAC7TEU4o8	OK
św. Michała Archanioła	Błociszewo		św. Michała Archanioła|ul. Kasztanowa 2|63-111 Błociszewo	poznańska	Śrem		ChIJE2EuX36pBUcRvj9EdDJA8Ng	OK
św. Michała Archanioła	Dolsk	http://www.parafia.dolsk.info.pl/	św. Michała Archanioła|ul. Kościelna 1|63-140 Dolsk|woj. wielkopolskie	poznańska	Śrem	wielkopolskie	ChIJ80tjTewFBUcRpTFarbrk808	OK
św. Michała Archanioła	Jezierzyce Kościelne		św. Michała Archanioła|Jezierzyce Kościelne 61|64-117 Jezierzyce Kościelne|woj. wielkopolskie	poznańska	Święciechowa	wielkopolskie	ChIJfyMe4oWVBUcR8jb0qNfSMS4	OK
św. Michała Archanioła	Siedlec	http://www.parafiasiedlec.pl/	św. Michała Archanioła|ul. Wolsztyńska 1|64-212 Siedlec|woj. wielkopolskie	poznańska	Zbąszyń	wielkopolskie	ChIJD-Qne5LXBUcRaRAykcABO7A	OK
św. Michała Archanioła	Biała Podlaska	http://www.michalbiala.pl/	św. Michała Archanioła|ul. Pokoju 14|21-500 Biała Podlaska|woj. lubelskie	siedlecka	Biała Podlaska-Północ	lubelskie	ChIJ3e-Zn0SRIUcR6rA5jr56jgk	OK
św. Michała Archanioła	Złota	http://www.diecezja.tarnow.pl/index.php/schematyzm/82-informacje-o-parafiach-w-diecezji/z/686-zlota	św. Michała Archanioła|Złota 32a|32-859 Złota|woj. małopolskie	tarnowska	Czchów	małopolskie	ChIJrbeKD8qLPUcRSIp_7TYiPoI	OK
św. Michała Archanioła	Szalowa	http://www.parafiaszalowa.pl/	św. Michała Archanioła|Szalowa 14|38-331 Szalowa|woj. małopolskie	tarnowska	Łużna	małopolskie	ChIJZ-RO2-vBPUcRyKjz2jdxTYM	AMBIGUOUS
św. Michała Archanioła	Jodłówka Tuchowska		św. Michała Archanioła|Jodłówka Tuchowska 275|33-173 Jodłówka Tuchowska|woj. małopolskie	tarnowska	Ołpiny	małopolskie	ChIJQ_k82guWPUcR0Wagn5zVtGw	OK
św. Michała Archanioła	Wierchomla Wielka	http://www.wierchomla.diecezja.tarnow.pl/	św. Michała Archanioła|Wierchomla Wielka 15|33-350 Wierchomla Wielka|woj. małopolskie	tarnowska	Piwniczna	małopolskie	ChIJgTWwNckKPkcRl1368Uz_4Ts	AMBIGUOUS
św. Michała Archanioła	Ropa		św. Michała Archanioła|Ropa 227|38-312 Ropa|woj. małopolskie	tarnowska	Ropa	małopolskie	ChIJPe5p1m7DPUcRNnWNVJS24-A	OK
św. Michała Archanioła	Żeleźnikowa Wielka	http://www.zeleznikowa.diecezja.tarnow.pl/	św. Michała Archanioła|Żeleśnikowa 3|33-335 Żeleźnikowa Wielka|woj. małopolskie	tarnowska	Stary Sącz	małopolskie	ChIJzUgFo4LkPUcROVDtMVw98ik	OK
św. Michała Archanioła	Piotrkowice	http://www.piotrkowice.diecezja.tarnow.pl/	św. Michała Archanioła|Piotrkowice 8|33-170 Piotrkowice|woj. małopolskie	tarnowska	Tuchów	małopolskie	ChIJgd746XWaPUcRLWmpdB-JzZ8	OK
św. Michała Archanioła	Ujanowice	http://www.michal.org.pl/	św. Michała Archanioła|Ujanowice 1|34-603 Ujanowice|woj. małopolskie	tarnowska	Ujanowice	małopolskie	ChIJ8zRZV3P2PUcRst3RhIFf1Jc	OK
św. Michała Archanioła	Lipnica		św. Michała Archanioła|Lipnica|87-207 Lipnica|woj. kujawsko-pomorskie	toruńska	Golub	kujawsko-pomorskie		NOT_FOUND
św. Michała Archanioła	Tylice	http://www.diecezja.torun.pl/par_pokaz.php?idpar=150	św. Michała Archanioła|Tylice 48|13-300 Tylice|woj. warmińsko-mazurskie	toruńska	Nowe Miasto Lubawskie	warmińsko-mazurskie	ChIJYagcOfsTHUcRelw5oF6zhNw	OK
św. Michała Archanioła	Linowo		św. Michała Archanioła|Linowo|86-341 Linowo|woj. kujawsko-pomorskie	toruńska	Radzyń Chełmiński	kujawsko-pomorskie	ChIJGYJqbIwtHUcR6yfDvZdjij0	OK
św. Michała Archanioła	Grzybno		św. Michała Archanioła|Grzybno|86-260 Grzybno|woj. kujawsko-pomorskie	toruńska	Unisław Pomorski	kujawsko-pomorskie	ChIJdXJqhR8lA0cRAjOt66_Z0qE	OK
św. Michała Archanioła	Błędowo		św. Michała Archanioła|Błędowo 26|87-214 Błędowo|woj. kujawsko-pomorskie	toruńska	Wąbrzeźno	kujawsko-pomorskie	ChIJYdvQDSXUAkcRa-nZ1I9DHHM	OK
św. Michała Archanioła	Warszawa	http://www.parafiamichal.waw.pl/porzadek_liturgii.php	św. Michała Archanioła|ul. Puławska 95|02-595 Warszawa|woj. mazowieckie	warszawska	Warszawa-Mokotów	mazowieckie	ChIJW_f9VinNHkcRnV3XKOtbyCU	OK
św. Michała Archanioła	Tyniec n. Ślęzą		św. Michała Archanioła|ul. Szkolna 8|55-040 Tyniec n. Ślęzą|woj. dolnośląskie	wrocławska	Borów	dolnośląskie	ChIJ27ZpIWfOD0cRq20wDAUPoWI	OK
św. Michała Archanioła	Karłowice	http://www.archidiecezja.wroc.pl/parafia.php?id_dek=3&id_par=3	św. Michała Archanioła|ul. Pokojowa 1|46-037 Karłowice|woj. opolskie	wrocławska	Brzeg-Północ	opolskie	ChIJ4d1tSWM4EEcRmBeob9qbuwg	OK
św. Michała Archanioła	Krzydlina Mała	http://www.michal.org.pl/	św. Michała Archanioła|Krzydlina Mała 69|56-100 Krzydlina Mała|woj. dolnośląskie	wrocławska	Brzeg Dolny	dolnośląskie	ChIJZyp2n7OdD0cRmh16loGJWcw	OK
św. Michała Archanioła	Uraz		św. Michała Archanioła|pl. Wolności 6|55-120 Uraz|woj. dolnośląskie	wrocławska	Brzeg Dolny	dolnośląskie		NOT_FOUND
św. Michała Archanioła	Chróścina		św. Michała Archanioła|Chróścina 23|56-200 Chróścina|woj. dolnośląskie	wrocławska	Góra Śląska-Zachód	dolnośląskie	ChIJ61hj8XvOEUcR--wo4kRL3XY	OK
św. Michała Archanioła	Osetno	http://www.parafiaosetno.pl/	św. Michała Archanioła|Osetno 24|56-200 Osetno|woj. dolnośląskie	wrocławska	Góra Śląska-Zachód	dolnośląskie	ChIJSR5s1uaFBUcRhqpfxvCizc4	OK
św. Michała Archanioła	Żabin	http://www.archidiecezja.wroc.pl/parafia.php?id_dek=45&id_par=13	św. Michała Archanioła|Żabin 11|56-215 Żabin|woj. dolnośląskie	wrocławska	Góra Śląska-Zachód	dolnośląskie	ChIJ__iR2saOBUcRxx26pMBUZQ8	OK
św. Michała Archanioła	Milicz	http://www.archidiecezja.wroc.pl/parafia.php?id_dek=17&id_par=4	św. Michała Archanioła|ul. Kościelna 5|56-300 Milicz|woj. dolnośląskie	wrocławska	Milicz	dolnośląskie	ChIJd9BAwo1bBUcRJr8ewWpAVFw	OK
św. Michała Archanioła	Michalice	http://namyslow.archidiecezja.wroc.pl/	św. Michała Archanioła|Michalice 16|46-100 Michalice|woj. opolskie	wrocławska	Namysłów-Zachód	opolskie	ChIJ7dTbp-ETEEcRvKIYL_zKEAM	AMBIGUOUS
św. Michała Archanioła	Solniki Wielkie	http://www.archidiecezja.wroc.pl/parafia.php?id_dek=20&id_par=7	św. Michała Archanioła|Solniki Wielkie 25|56-420 Solniki Wielkie|woj. dolnośląskie	wrocławska	Oleśnica Śląska-Wschód	dolnośląskie	ChIJVS48U60dEEcR7MRuJfkRjqw	OK
św. Michała Archanioła	Długołęka	http://www.archidiecezja.wroc.pl/parafia.php?id_dek=21&id_par=3	św. Michała Archanioła|ul. Wiejska 24|55-095 Długołęka|woj. dolnośląskie	wrocławska	Oleśnica Śląska-Zachód	dolnośląskie	ChIJbby-sQrmD0cRl152SqeuE9A	OK
św. Michała Archanioła	Chomiąża	http://www.archidiecezja.wroc.pl/parafia.php?id_dek=28&id_par=10	św. Michała Archanioła|ul. Średzka 38|55-320 Chomiąża|woj. dolnośląskie	wrocławska	Środa Śląska	dolnośląskie	ChIJv0smED6fD0cR_nkH21zxVbQ	OK
św. Michała Archanioła	Wszemirów	http://www.wszemirow.sds.pl/	św. Michała Archanioła|Wszemirów 90|55-110 Wszemirów|woj. dolnośląskie	wrocławska	Trzebnica	dolnośląskie	ChIJmcc1Br6MD0cRokag6aHQ520	OK
św. Michała Archanioła	Jaworów	http://www.archidiecezja.wroc.pl/parafia.php?id_dek=32&id_par=2	św. Michała Archanioła|Jaworów 1|57-120 Jaworów|woj. dolnośląskie	wrocławska	Wiązów	dolnośląskie	ChIJV3-f6AcsEEcRr-O0njWz3Lk	OK
św. Michała Archanioła	Smogorzów Wielki	http://www.smogorzow-wielki.pl/	św. Michała Archanioła|Smogorzów Wielki 2|56-160 Smogorzów Wielki|woj. dolnośląskie	wrocławska	Wołów	dolnośląskie	ChIJzUM7uV2BD0cRHqwlXO-C3pM	AMBIGUOUS
św. Michała Archanioła	Wińsko	http://www.archidiecezja.wroc.pl/parafia.php?id_dek=34&id_par=7	św. Michała Archanioła|ul. Kościelna 4|56-160 Wińsko|woj. dolnośląskie	wrocławska	Wołów	dolnośląskie	ChIJvb4ojMmBD0cRiiHHWkwBWNU	OK
św. Michała Archanioła	Wrocław	http://www.wroclawm.salezjanie.pl/	św. Michała Archanioła|ul. Bolesława Prusa 78|50-318 Wrocław|woj. dolnośląskie	wrocławska	Wrocław-Katedra	dolnośląskie	ChIJp5OO4c_pD0cRb8Y6NDj6o5c	AMBIGUOUS
św. Michała Archanioła	Wrocław		św. Michała Archanioła|ul. Stanisławowska 87|54-611 Wrocław|woj. dolnośląskie	wrocławska	Wrocław-Zachód	dolnośląskie	ChIJ9_O3BrrBD0cRU00td5jH18c	OK
św. Michała Archanioła	Łagoszów Wielki		św. Michała Archanioła|Łagoszów Wielki 33|59-160 Łagoszów Wielki|woj. dolnośląskie	zielonogórsko-gorzowska	Głogów-N.M.P. Królowej Polski	dolnośląskie	ChIJqd1IQv1YD0cR3SyT5f1Nul4	AMBIGUOUS
św. Michała Archanioła	Jenin	http://www.parafiajenin.pl/	św. Michała Archanioła|ul. Gorzowska 100a|66-450 Jenin|woj. lubuskie	zielonogórsko-gorzowska	Gorzów Wielkopolski-Świętej Trójcy	lubuskie	ChIJaa52aG8ZB0cR4pmy1SxZBWc	OK
