Parafia	url	niedzielne	powszednie	debug_url
Parafia pw. Niepokalanego Serca NMP	http://parafia.czerwonak.eu	Msze św. w niedziele: 8:00, 10:00, 11:30, 17:00	Msze św. w dni powszednie: 18:00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,43/
Parafia pw. św. Urszuli Ledóchowskiej	http://www.dabrowkaparafia.pl	Msze św. w niedziele: 8.30, 10.00, 11.30, 12.45 ( z wyjątkiem lipca i sierpnia), 18.30	Msze św. w dni powszednie: 18.30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,1209/Itemid,118/
Parafia pw. Wniebowzięcia NMP	http://www.parafia-debnonw.pl	Msze św. w niedziele: Dębno godz. 8.00, godz. 12.00; Chrzan godz. 10.00	Msze św. w dni powszednie: Dębno: wt. godz. 8.00, czw. godz. 18.00, sob. godz. 18.00; Chrzan: pon., śr., pt., o godz. 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,171/
Parafia pw. św. Michała Archanioła	http://www.parafia.dolsk.info.pl	Msze św. w niedziele: 8:00, 10:00, 12:00	Msze św. w dni powszednie: 18:00 z wyjątkiem poniedziałku i piątku; 7:30 - Kościół Św. Ducha	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,359/
Parafia pw. św. Michała Archanioła	http://parafia-domachowo.pl	Msze św. w niedziele: godz. 9.00, godz. 11.00	Msze św. w dni powszednie: godz. 18.00 od poniedziałku do piątku; godz. 17.00 w sobotę	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,56/
Parafia pw. Najświętszego Serca Jezusa	http://www.drobnin.archpoznan.pl	Msze św. w niedziele: 8:00, 11:00; Garzyn: 9:30	Msze św. w dni powszednie: 18:00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,300/
Parafia pw. Błogosławionego Edmunda Bojanowskiego	http://www.ebojanowski.pl	Msze św. w niedziele: godz. 7.30, godz. 9.00, godz. 11.00	Msze św. w dni powszednie: godz. 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,55/
Parafia pw.Ducha Świętego i Najświętszego Serca Pana Jezusa	http://www.swietyduch.com.pl	Msze św. w niedziele: godz. 7.00, godz. 8.15, godz. 10.00, godz. 11.30, godz. 17.00, w kaplicy w Czachorowie godz. 10.30	Msze św. w dni powszednie: poniedziałek - czwartek godz. 17.00 i 18.00 (X-III) albo godz. 18.00 i 19.00 (IV-IX); piątki i soboty g. 7:30 i 18 (cały rok)	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,54/
Parafia pw. Najświętszej Maryi Panny Świętogórskiej	http://www.filipini.gostyn.pl	Msze św. w niedziele: godz. 7.30, godz. 9.00, godz. 10.30, godz. 12.00, godz. 15.00, godz. 17.00	Msze św. w dni powszednie: godz. 6.30, godz. 7.00, godz. 8.00, godz. 19.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,53/
Parafia pw. św. Małgorzaty	http://faragostyn.archpoznan.pl	Msze św. w niedziele: sobota godz. 17.00; godz. 6.30, godz. 8.00, godz. 9.30, godz. 11.00, godz. 12.30, godz. 15.00, godz. 18.30	Msze św. w dni powszednie: godz. 6.30, godz. 8.00, godz. 18.30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,52/
Parafia pw. Matki Boskiej Pocieszenia i św. Michała Arch.	http://www.gorkaduchowna.archpoznan.pl	Msze św. w niedziele: 8:00, 10.30; sobota: 18:30-latem, 18:00-zimą	Msze św. w dni powszednie: 18:30-latem, 18:00-zimą, w I czwartek miesiąca Msza św. jest wieczorem, a w pozostałe czwartki 8:00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,338/
Parafia pw. Najświętszego Serca Pana Jezusa	http://www.nspjgrodzisk.archpoznan.pl	Msze sw. w niedziele: godz. 7.30, godz. 9.00, godz. 10.15, godz. 12.00, godz. 15.00; w ostatnia niedzielę miesiąca godz. 14.00 (dla osób niepełnosprawnych),sobota godz. 18.30, Grąblewo godz. 17.00	Msze św. w dni powszednie: poniedziałek-piątek, godz. 17.30 i godz. 18.30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,66/
Parafia pw. św. Faustyny	http://www.faustynagr.pl	Msze św. w niedziele: godz. 8.00, godz. 11.00, godz. 15.00, Słocin godz. 9.45 lipiec-sierpień godz. 8.00, godz. 11.00, godz. 18.00; Słocin godz. 9.45 Msze św. w soboty: godz. 17.00, godz. 18.00, godz. 18.00 / dla wspólnoty neokatechumenalnej/ w lipcu i sierpniu godz. 19.00	Msze św. w dni powszednie: godz. 17.30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,65/
Parafia pw. św. Jadwigi	http://fara-grodzisk.pl	Msze św. w niedziele: Klasztor: 11:00 - dla dzieci; Fara: 7:00, 8:30, 9:45 - dla młodzieży, 12:30, 18:30	Msze św. w dni powszednie: Klasztor: 7:30; Fara: 18:30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,64/
Parafia pw. św. Apostołów Piotra i Pawła	http://www.parafia-gulcz.pl	Msze św. w niedziele: godz. 8.00, godz. 11.00	Msze św. w dni powszednie: zimą godz. 18.00, latem godz. 19.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,377/
Parafia pw. św. Barbary	http://www.jaszkowo-manieczki.pl/	Msze św. w niedziele: Manieczki godz. 8.00, godz. 11.00; Jaszkowo godz. 9.30	Msze św. w dni powszednie: Manieczki: godz. 18.00 lato; godz. 17.00 zima; Jaszkowo w czwartek godz. 19.00 lato; godz. 18.00 zima	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,358/
Parafia pw. św. Marcina	http://www.parafiakaczkowo.pl/	Msze św. w niedziele: 8:00, 11:00; Jabłonna: 9:30	Msze św. w dni powszednie: 01.V-30.IX 18:30; 01.X-30.IV 18:00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,297/
Parafia pw. św. Matki Teresy z Kalkuty	http://www.mtkamionki.pl	Msze św. w niedziele: o godz. 8.00 (z wyjątkiem I dnia świąt Bożego Narodzenia i Wielkanocy), 10.00, 11.30 (z udziałem dzieci) i 19.00	Msze św. w dni powszednie: od wtorku do soboty godz. 18.30. (Roraty o 18.00)	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,1210/Itemid,118/
